Draft_Yr,Pk,Tm,Player,College,seasons,Field_Goal_Percentage ,3points_Field_Goal_Percentage ,Free_Throw_Percentage,Minutes_Played_Per_Game,Points_Per_Game ,Total_Rebounds_per_Game ,Assist_Per_Game ,WS,WS/48,BPM,VORP
1972,23,SEA,Brian Taylor,Princeton University,6,0.487,0.376,0.803,31.1,12.3,2.4,4.5,24.7,0.116,1.2,8.3
1972,24,CLE,Steve Hawes,University of Washington,10,0.483,0.298,0.79,23,8.4,6.2,1.9,37.1,0.112,1,11.8
1972,25,BAL,Tom Patterson,Ouachita Baptist University,2,0.42,,0.778,4,2.2,1,0.2,0.2,0.102,-5,0
1972,26,POR,Dave Twardzik,Old Dominion University,4,0.552,0.571,0.823,24.7,9.5,2.2,3.4,21.8,0.151,1.4,5.9
1972,28,KCO,Mike Ratliff,University of Wisconsin-Eau Claire,2,0.417,,0.536,11.4,4,3.2,0.6,-0.2,-0.014,-8.7,0
1972,29,MIL,Chuck Terry,"California State University, Long Beach",2,0.38,,0.756,13.3,3.3,2.2,0.6,0.7,0.018,-4.7,-0.8
1972,30,POR,Ollie Johnson,Temple University,10,0.496,0.15,0.827,21.1,7.7,3.3,1.8,27,0.089,-1.2,2.5
1972,31,POR,Lloyd Neal,Tennessee State University,7,0.485,,0.672,25.3,11.1,7.7,1.5,22.7,0.099,-1.3,1.6
1972,33,PHO,Scott English,University of Texas at El Paso,1,0.387,,0.724,6.8,3.2,1.5,0.5,0,0.002,,
1972,34,PHO,Don Buse,University of Evansville,9,0.442,0.333,0.78,26.3,6.9,2.3,4.5,34.9,0.098,0.5,10.7
1972,35,CHI,Frank Russell,University of Detroit Mercy,1,0.377,,0.889,5.7,3.2,0.7,0.7,0.1,0.03,,
1972,37,HOU,Eric McWilliams,"California State University, Long Beach",1,0.347,,0.486,5.6,2,1.4,0.1,-0.4,-0.074,,
1972,38,KCO,Ron Riley,University of Southern California,4,0.419,,0.691,18.4,5.8,5.2,1.2,2.5,0.024,-2.9,-0.8
1972,39,BAL,Kevin Porter,Saint Francis University,10,0.483,0.188,0.737,29,11.6,1.8,8.1,36,0.09,-1.2,3.7
1972,40,SEA,Jim Creighton,University of Colorado,1,0.279,,0.438,5.4,1,1.4,0.1,-0.2,-0.063,-9.9,-0.3
1972,42,PHO,Claude Terry,Stanford University,2,0.467,,0.818,9.9,4,0.8,0.9,1,0.065,-4.4,-0.4
1972,43,GSW,Bill Chamberlain,University of North Carolina,1,0.438,,0.696,13.1,5.5,2.9,1.3,0.5,0.063,-0.1,0.2
1972,53,KCO,Frank Schade,University of Wisconsin-Eau Claire,1,0.286,,1,8.4,1.1,0.7,1.1,0,0.031,,
1972,58,NYK,Henry Bibby,"University of California, Los Angeles",9,0.424,0.293,0.782,22.9,8.6,2.3,3.3,24.5,0.076,-1.9,0.5
1972,70,HOU,James Silas,Stephen F. Austin State University,6,0.485,0,0.852,24.2,14.2,2.1,3.4,22,0.122,-1.4,1.2
1972,76,GSW,Charles Dudley,University of Washington,6,0.497,,0.672,17.6,5.3,3,3.4,14,0.106,0.6,4.2
1972,78,CHI,Rowland Garrett,Florida State University,5,0.441,,0.772,11,5.1,2.3,0.4,5.4,0.089,-4.2,-1.5
1972,109,PHO,Bernie Fryer,Brigham Young University,1,0.457,,0.787,19,6.2,1.8,3,2,0.046,-2.5,-0.3
